,trna.rep.1.tp.1_0,trna.rep.2.tp.1_0,trna.rep.3.tp.1_0,trna.rep.1.tp.2_0,trna.rep.2.tp.2_0,trna.rep.3.tp.2_0,trna.rep.1.tp.3_0,trna.rep.2.tp.3_0,trna.rep.3.tp.3_0,trna.rep.1.tp.4_0,trna.rep.2.tp.4_0,trna.rep.3.tp.4_0,rbf.rep.1.tp.1_0,rbf.rep.2.tp.1_0,rbf.rep.3.tp.1_0,rbf.rep.1.tp.2_0,rbf.rep.2.tp.2_0,rbf.rep.3.tp.2_0,rbf.rep.1.tp.3_0,rbf.rep.2.tp.3_0,rbf.rep.3.tp.3_0,rbf.rep.1.tp.4_0,rbf.rep.2.tp.4_0,rbf.rep.3.tp.4_0
VNG_6323H,9.86,9.02,7.06,13.66,14.02,12.29,45.89,23.97,31.09,31.68,26.11,24.10,335.03,117.81,156.76,101.39,105.80,153.29,95.11,83.47,148.98,72.82,162.67,60.62
VNG_6325H,22.08,17.79,17.70,22.39,20.52,18.20,26.17,12.42,12.45,9.17,12.06,11.58,0.00,180.81,86.37,155.62,0.00,170.36,0.00,89.67,188.31,111.76,0.00,651.23
VNG_6327H,4.50,5.06,4.82,8.98,10.25,8.25,32.76,15.87,19.13,13.51,11.02,15.43,60.67,49.11,97.06,65.58,71.85,70.20,95.69,30.23,79.36,94.19,104.75,164.66
VNG_6329H,22.66,27.64,33.16,81.45,73.63,110.11,791.93,487.58,1181.47,389.96,331.72,348.42,0.00,96.47,74.88,20.76,66.33,90.89,159.01,47.84,100.47,119.25,124.32,217.15
VNG_6330H,5.00,8.82,5.03,4.20,8.00,7.39,75.10,13.92,26.70,4.97,10.02,17.31,0.00,48.39,69.34,0.00,0.00,0.00,0.00,143.99,302.38,358.91,1122.54,0.00
VNG_6331H,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VNG_6332H,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VNG_6334H,35.52,33.17,29.42,28.36,36.22,25.86,96.37,40.31,48.42,75.60,51.12,64.59,75.72,199.70,81.76,49.11,22.42,53.76,107.48,113.19,148.55,35.27,0.00,0.00
VNG_6335H,43.98,48.04,41.39,57.68,55.09,42.31,102.83,74.15,49.72,37.79,36.32,47.89,144.57,121.04,208.13,31.25,228.27,114.04,0.00,36.02,37.82,44.89,0.00,130.78
VNG_6339H,10.80,16.50,19.94,13.17,29.95,24.12,277.84,15.16,51.29,19.68,32.78,76.02,744.53,467.51,267.97,241.42,220.42,176.20,0.00,0.00,0.00,1387.00,723.00,1010.29
VNG_6340H,21.28,22.96,18.93,18.05,21.30,21.29,55.25,24.17,60.05,41.83,37.36,46.74,102.93,25.85,74.10,66.75,60.95,0.00,292.22,230.80,0.00,0.00,0.00,0.00
VNG_6341H,0.38,0.56,0.60,0.48,0.74,0.84,5.51,0.80,1.34,0.90,0.84,1.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VNG_6343H,0.87,1.22,1.51,1.14,2.30,2.24,8.13,1.06,3.87,1.33,2.08,3.16,265.02,3927.39,327.05,270.08,224.18,286.71,161.22,226.37,148.55,282.13,330.89,308.25
VNG_6344H,0.00,19.13,9.36,9.11,17.36,11.32,164.87,0.00,42.12,0.00,0.00,29.38,4179.15,3149.03,6768.80,2710.23,8660.90,9890.08,14830.13,6246.94,1639.77,1946.36,16233.14,5670.91
VNG_6345H,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
VNG_6346H,7.23,7.80,7.90,7.23,7.66,8.70,43.34,8.10,14.73,4.89,7.21,12.71,32.51,98.00,11.70,21.09,38.51,61.56,46.15,72.90,76.55,151.43,126.30,0.00
VNG_6347H,49.42,54.34,45.90,47.88,48.20,56.43,101.76,43.23,64.27,49.68,44.92,47.63,104.06,78.41,37.46,33.74,0.00,24.63,36.93,38.89,102.08,24.23,50.53,70.61
VNG_6348H,9.23,16.59,18.15,14.70,22.79,20.21,140.82,26.13,45.21,34.33,27.48,53.16,30.53,15.33,54.93,79.19,54.22,43.34,0.00,0.00,71.86,0.00,59.29,0.00
VNG_6349C,5.47,7.55,7.70,4.44,8.06,7.05,73.83,4.47,12.02,6.30,6.62,17.91,33.44,31.50,60.18,54.22,14.85,31.66,23.74,31.24,39.37,77.88,64.95,113.45
VNG_6353H,23.68,22.29,18.01,29.86,25.91,27.56,83.71,27.38,32.25,21.58,18.92,30.38,0.00,50.23,35.99,64.85,0.00,47.33,0.00,0.00,0.00,0.00,0.00,271.38
VNG_6355H,35.00,38.62,42.59,73.74,79.80,71.06,257.96,147.99,142.99,86.19,85.70,111.24,127.29,15.99,0.00,20.64,18.84,45.19,0.00,47.57,24.97,29.64,30.90,0.00
VNG_6357H,32.27,30.55,34.17,63.70,62.30,64.96,213.71,148.93,171.77,85.42,85.19,86.06,23.02,17.34,66.27,0.00,13.63,32.68,0.00,0.00,18.06,21.44,22.35,0.00
VNG_6359H,4.99,5.31,7.90,5.38,6.38,7.64,47.17,11.21,14.22,5.53,7.78,13.22,87.13,145.90,41.82,37.67,0.00,27.49,41.23,0.00,22.79,81.16,56.41,0.00
VNG_6364H,10.01,13.96,15.62,19.16,21.97,23.16,96.75,37.90,61.32,17.97,20.90,28.97,40.16,20.18,21.68,13.02,0.00,47.53,57.01,15.01,63.04,18.71,19.50,0.00
VNG_6365H,6.14,9.30,9.19,7.41,12.82,11.59,127.50,11.94,21.56,17.95,15.26,37.90,287.20,162.30,335.95,0.00,42.51,101.95,509.57,107.32,394.41,735.66,766.95,194.86
VNG_6366H,0.86,1.35,1.36,0.71,1.48,1.58,16.01,2.52,3.17,1.73,2.72,4.80,0.00,7.23,0.00,0.00,34.07,27.23,81.66,0.00,67.72,53.59,55.87,0.00
