tracking_id,trna.rep.1.tp.1_0,trna.rep.1.tp.2_0,trna.rep.1.tp.3_0,trna.rep.1.tp.4_0,rbf.rep.1.tp.4_0,rbf.rep.1.tp.1_0,rbf.rep.1.tp.2_0,rbf.rep.1.tp.3_0,trna.rep.3.tp.2_0,trna.rep.3.tp.3_0,trna.rep.3.tp.1_0,trna.rep.3.tp.4_0,rbf.rep.2.tp.4_0,rbf.rep.2.tp.1_0,rbf.rep.2.tp.3_0,rbf.rep.2.tp.2_0,trna.rep.2.tp.1_0,trna.rep.2.tp.3_0,trna.rep.2.tp.2_0,trna.rep.2.tp.4_0,rbf.rep.3.tp.2_0,rbf.rep.3.tp.3_0,rbf.rep.3.tp.1_0,rbf.rep.3.tp.4_0
VNG_0487H,496.543,610.432,166.999,135.61,26.9172,70.5318,57.8491,42.3277,680.933,292.552,592.581,129.364,74.069,41.1755,12.4385,49.3462,520.612,329.867,531.132,131.94,59.7576,43.3016,70.7846,0
VNG_0488H,177.002,134.193,76.0184,95.7555,30.6006,20.0459,10.9609,0,167.408,84.9344,197.728,101.152,16.841,20.3846,0,22.4396,191.968,96.6846,148.94,121.195,50.9514,60.2209,37.1405,0
VNG_0489G,692.192,548.241,357.726,637.45,55.3753,10.3644,17.0014,12.4398,664.584,409.009,704.139,656.506,60.9513,13.8967,21.9335,29.0049,785.498,297.603,608.432,550.185,30.7341,31.4379,32.0047,0
VNG_0491G,2742.73,2687.89,1062.67,1744.63,18.2681,23.9343,9.81526,21.5452,2936.82,1552.38,3205.92,1887.33,15.0807,17.3829,16.8835,16.7451,3105.74,1619.53,2727.83,1785.97,12.6739,18.1497,11.0862,35.6787
VNG_0492H,42.8542,30.8063,22.2454,36.0592,31.1568,0,11.1601,48.9945,30.4946,27.4008,34.6174,33.4407,0,27.3664,0,114.237,40.5241,30.9228,28.6377,47.2899,25.9387,12.3819,37.8155,0
VNG_0494G,451.803,278.341,201.22,142.098,34.0441,44.6033,48.7773,0,399.981,134.152,436.805,188.609,18.7361,19.9349,31.4637,24.9647,468.198,127.382,326.148,165.778,9.44747,40.588,6.88664,0
VNG_0496H,543.784,318.945,228.815,192.081,0,0,30.1346,0,318.852,228.776,423.633,190.806,46.3005,0,0,0,568.464,181.754,370.642,192.477,23.3466,0,0,0
VNG_0498C,173.405,127.449,69.1698,86.9011,25.1934,0,0,0,120.236,59.6796,164.29,101.359,0,29.5047,23.2839,18.4744,166.438,58.6455,122.033,99.2482,27.9654,20.0241,20.3851,0
VNG_0499G,174.715,100.653,49.5743,89.2652,0,0,0,0,111.411,61.1442,153.132,79.3127,0,0,0,0,157.762,55.4515,101.09,86.8803,0,8.62148,13.1654,0
VNG_0500G,203.426,290.125,546.212,713.827,296.601,222.055,141.653,177.68,240.201,920.407,198.036,566.458,248.737,190.219,248.013,51.7854,191.949,924.477,307.692,768.576,141.101,168.387,205.708,73.5591
VNG_0501G,29.8796,27.0853,24.8555,13.6659,126.322,126.561,186.314,222.014,25.447,12.6373,25.9736,17.1941,106.326,147.939,288.436,114.429,29.943,12.9191,19.4978,13.6339,202.084,336.644,105.219,174.152
VNG_0502G,30.909,33.2652,64.1988,72.4414,133.991,142.635,203.978,184.366,28.4095,67.3979,22.7394,67.1196,368.709,228.026,348.288,159.667,28.1442,71.9123,42.0576,85.7419,227.75,226.309,284.599,239.885
VNG_0503C,34.5236,26.7569,55.1976,25.9492,39.3461,601.416,347.639,41.2483,24.217,33.8624,27.4963,30.107,43.3081,418.553,60.6065,346.232,26.2288,38.5856,28.8893,31.0713,531.383,135.516,328.979,0
VNG_0504G,298.194,219.78,110.583,95.0137,62.8991,113.311,84.4874,12.3637,212.49,114.459,249.18,93.8378,60.5786,69.0588,79.9311,74.9517,276.857,103.751,175.842,93.0182,61.0923,62.4913,82.7035,40.9485
