,trna.rep.1.tp.1_0,trna.rep.2.tp.1_0,trna.rep.3.tp.1_0,trna.rep.1.tp.2_0,trna.rep.2.tp.2_0,trna.rep.3.tp.2_0,trna.rep.1.tp.3_0,trna.rep.2.tp.3_0,trna.rep.3.tp.3_0,trna.rep.1.tp.4_0,trna.rep.2.tp.4_0,trna.rep.3.tp.4_0,rbf.rep.1.tp.1_0,rbf.rep.2.tp.1_0,rbf.rep.3.tp.1_0,rbf.rep.1.tp.2_0,rbf.rep.2.tp.2_0,rbf.rep.3.tp.2_0,rbf.rep.1.tp.3_0,rbf.rep.2.tp.3_0,rbf.rep.3.tp.3_0,rbf.rep.1.tp.4_0,rbf.rep.2.tp.4_0,rbf.rep.3.tp.4_0
VNG_1959G,106.3925407,87.62739908,73.23254422,51.94374327,56.63033375,50.892473,53.47819995,33.15372194,38.29484654,21.73689852,22.81259556,23.1918862,211.2873858,268.8822935,316.8642621,168.9943884,233.5322017,313.3441516,639.8058908,278.9823092,375.8253072,393.6130423,595.0135494,382.2759476
VNG_1960H,247.8532225,241.2834328,250.7348599,297.0680646,291.1397948,214.1147474,286.5949319,492.6137239,342.4030496,231.3624754,246.8816666,192.2523601,0,123.7923776,177.3936107,319.6291919,583.6641199,0,0,0,0,0,0,0
VNG_1962C,67.6926927,60.51735024,49.92051279,41.49887616,49.50556815,50.02322867,89.73471764,77.9263639,57.23629734,36.18977093,57.12110302,42.88001985,131.2202502,145.0180086,122.7959835,51.0590585,62.15818938,111.7933209,74.50373303,78.45863768,61.78437891,97.78185419,178.3960157,356.1202696
VNG_1963H,2.17037707,2.881558014,2.731083649,1.585975817,2.66925129,2.077635213,19.17771306,2.472015302,5.055208338,2.860108173,3.361078237,4.885466715,1824.373419,1435.778655,1243.22596,1277.783269,965.0104963,1047.693813,828.6655349,999.9126341,763.5493564,1019.60312,496.0520952,462.1091239
VNG_1964H,72.50324541,72.66572578,79.68734185,45.57157521,56.18271415,53.9748866,65.55934206,46.24876922,38.43009275,8.778345967,17.89668047,16.787162,46.18948188,27.84329785,26.59951322,47.92725329,10.93981877,39.35113777,0,6.904330366,21.74796253,0,17.94148816,25.07077186
VNG_1965H,242.6379954,233.4230204,264.670628,175.3290517,157.2066896,146.3004907,76.27643733,139.0015823,109.074642,23.82522541,40.50284724,33.41167764,0,5.312689626,19.03263174,0,6.262152753,10.01122363,0,15.80871195,8.299315095,0,10.27005481,28.70196811
VNG_1967G,322.5478177,340.2335021,361.3255907,251.0303773,230.7619972,220.7121128,157.1123039,169.401295,145.0286689,40.98931265,53.49774003,51.01521193,20.22470893,35.55884914,41.24971079,61.2081013,15.96716456,31.90824373,19.13848203,10.07717244,52.90377026,18.83857354,26.18649574,0
VNG_1969G,65.954011,59.65410177,57.75562184,32.44874788,32.28024923,27.31728841,28.69171248,19.84398444,15.84157158,33.1586121,35.76679299,34.48661332,11.87820676,11.93381211,21.37630293,3.851602952,21.0998871,14.05512657,8.43021104,17.75543951,27.96399777,27.66047303,5.767376432,80.59098483
VNG_1971G,27.51076582,26.53568754,29.09408419,14.08277662,15.36173021,15.04086774,27.15522335,14.68345316,11.45025919,16.7470331,24.2527474,20.6700875,16.58255527,18.74263257,20.88952691,5.376994537,14.72811808,23.54583408,23.53783715,6.196822275,26.02585454,7.723017044,0,0
VNG_1972G,58.7541344,59.98516402,62.95565551,37.24451161,37.33711241,34.5157615,55.57063543,42.8101048,38.23433486,37.46343448,43.37134294,43.63064804,82.51940705,30.14742682,27.00063737,82.70497159,26.65148463,71.01257565,31.94489811,39.24730051,129.5126116,34.93810094,21.85446711,142.5131391
VNG_1973H,8.883447327,11.3764983,11.43102519,20.41735251,22.4136226,22.82854678,559.5355767,300.4471186,791.3040812,377.1308629,461.8353988,406.5728193,83.11750254,114.8209457,82.26897975,26.95141961,61.51897263,19.6700093,0,31.06065115,81.53189991,96.77630469,60.53542161,56.39316085
