,trna.rep.1.tp.1_0,trna.rep.2.tp.1_0,trna.rep.3.tp.1_0,trna.rep.1.tp.2_0,trna.rep.2.tp.2_0,trna.rep.3.tp.2_0,trna.rep.1.tp.3_0,trna.rep.2.tp.3_0,trna.rep.3.tp.3_0,trna.rep.1.tp.4_0,rbf.rep.2.tp.3_0,trna.rep.2.tp.4_0,trna.rep.3.tp.4_0,rbf.rep.1.tp.1_0,rbf.rep.2.tp.1_0,rbf.rep.3.tp.1_0,rbf.rep.1.tp.2_0,rbf.rep.2.tp.2_0,rbf.rep.3.tp.2_0,rbf.rep.1.tp.3_0,rbf.rep.3.tp.3_0,rbf.rep.1.tp.4_0,rbf.rep.2.tp.4_0,rbf.rep.3.tp.4_0
VNG_2332G,71.3494,69.9907,80.4153,49.0139,48.3127,55.964,20.7306,28.0781,25.7326,24.4431,0,47.6487,34.8472,167.178,16.011,22.1244,13.0587,106.937,60.703,85.9945,43.4651,36.4573,0,0
VNG_2333C,229.888,208.357,206.295,169.158,184.745,163.142,118.18,185.073,179.056,219.414,214.965,256.263,200.629,148.251,147.242,124.621,207.158,124.465,150.027,118.625,129.908,125.727,131.468,245.552
VNG_2334C,103.016,101.216,125.193,117.787,99.6335,111.182,115.347,146.861,136.178,245.398,71.1995,265.93,264.874,125.485,98.1468,120.459,135.736,97.7171,139.829,91.6768,91.0195,64.5458,64.1699,65.0641
VNG_2335H,117.084,153.374,172.619,102.745,111.464,160.973,86.5817,41.0969,56.4862,73.4325,36.5503,63.8961,99.27,34.5428,46.3155,74.6665,28.3315,87.0018,65.8488,331.678,83.8217,118.643,43.5301,34.3285
VNG_2337C,3564.35,3659.17,3954.54,3744.77,3773.23,4252.3,2284.78,3616.82,3899.15,5161.73,141.688,4893.33,4878.02,401.716,239.39,206.747,73.2181,112.421,368.714,80.3595,81.2339,102.205,0,0
VNG_2338G,165.538,177.162,181.466,162.618,170.748,152.378,142.524,127.859,145.465,165.924,154.912,164.344,153.634,126.596,133.368,146.795,169.522,164.849,201.381,142.643,166.138,149.869,171.471,154.054
VNG_2339C,545.56,482.277,575.04,496.126,474.478,487.908,322.464,410.537,555.739,416.682,0,407.455,368.052,46.1041,30.9085,0,75.6278,0,39.0614,55.3361,55.9382,70.3791,77.4659,0
VNG_2340H,400.471,402.174,344.969,440.073,579.614,434.69,1290.64,1013.26,1173.18,1467.4,265.316,1262.39,1405.59,820.613,913.089,617.666,738.49,775.069,557.656,205.195,248.913,182.684,86.1767,305.821
VNG_2341H,722.771,644.231,526.206,501.739,478.378,487.251,217.009,170.94,248.993,107.728,1496.85,186.873,147.86,1178.86,843.006,436.832,1547.02,791.776,898.905,565.968,2288.51,899.782,396.154,1405.86
VNG_2342H,788.818,789.606,862.52,1004.42,820.966,768.616,216.294,454.714,356.83,269.408,314.14,254.824,206.181,49.4809,165.862,137.515,189.39,138.473,188.651,118.778,510.301,37.767,166.28,98.348
VNG_2343G,1235.4,1500.56,1515.8,1893.79,1796.37,1771.45,796.655,999.174,1007.06,577.53,50.1574,591.469,533.482,53.3278,37.7375,63.1248,48.5984,49.7462,30.1211,74.674,75.4865,40.7031,52.2686,35.3313
VNG_2344G,1268.96,1644.29,1666.03,2160.95,2073.11,2047.38,897.24,1157.78,1201.67,618.951,40.0013,629.426,534.662,56.7063,65.895,66.5404,68.2142,50.782,100.893,27.2245,82.5623,43.2818,85.7522,45.0837
VNG_2346G,660.82,750.833,687.588,1084.69,920.563,860.265,319.412,495.625,447.711,229.792,191.136,213.251,181.592,234.341,135.829,94.9768,48.0507,159.853,108.579,140.633,102.18,95.0214,184.57,130.999
VNG_2347G,1166.44,1274.52,961.918,1515.04,1360.66,1130.89,479.661,615.125,519.367,314.279,24.0008,248.447,218.54,56.7063,53.2229,63.0383,18.6039,44.4342,24.022,40.8368,34.401,25.9691,47.6401,90.1673
VNG_2349G,4424.82,5008.28,5248.81,7676.95,8134.58,7750.71,7758.2,9392.88,11266.7,6695.66,72.2545,7049.38,6244.26,51.2144,47.051,45.6871,28.0035,41.4049,60.2654,61.4697,48.33,34.7467,57.3683,11.3104
VNG_2351C,800.027,726.388,644.646,475.34,537.823,491.774,299.225,315.779,310.711,331.293,10.8487,305.093,322.242,15.3793,20.6208,4.74904,42.0461,0,6.51499,0,9.32985,11.7384,0,30.5677
VNG_2352G,430.491,454.686,419.485,339.138,336.352,279.629,158.798,211.472,139.321,194.756,13.9784,206.251,171.435,0,17.713,20.3968,3.61171,3.69701,8.39445,7.92797,4.00711,15.1247,16.6477,0
VNG_2353H,243.008,293.223,228.844,160.147,188.484,155.984,106.812,90.937,90.6296,77.1421,0,92.9791,93.3897,0,17.2734,0,0,129.789,0,0,0,0,0,0
