,trna.rep.1.tp.1_0,trna.rep.2.tp.1_0,trna.rep.3.tp.1_0,trna.rep.1.tp.2_0,trna.rep.2.tp.2_0,trna.rep.3.tp.2_0,trna.rep.1.tp.3_0,trna.rep.2.tp.3_0,trna.rep.3.tp.3_0,trna.rep.1.tp.4_0,rbf.rep.2.tp.3_0,trna.rep.2.tp.4_0,trna.rep.3.tp.4_0,rbf.rep.1.tp.1_0,rbf.rep.2.tp.1_0,rbf.rep.3.tp.1_0,rbf.rep.1.tp.2_0,rbf.rep.2.tp.2_0,rbf.rep.3.tp.2_0,rbf.rep.1.tp.3_0,rbf.rep.3.tp.3_0,rbf.rep.1.tp.4_0,rbf.rep.2.tp.4_0,rbf.rep.3.tp.4_0
VNG_0001H,607.53,699.166,589.258,1239.68,1177.15,1103.5,1708.7,1872.29,2252.12,1532.85,70.9297,1374.04,1137.44,90.4957,85.386,108.673,71.4742,61.9065,80.9314,84.4797,91.4989,99.7707,101.37,79.9416
VNG_0002G,477.157,502.541,485.647,1163.36,877.206,974.79,1015.82,2133.16,1913.06,1408.18,15.3261,1304.32,1000.52,0,53.407,26.836,11.8798,12.1604,64.4265,52.1539,52.7214,49.7489,127.769,0
VNG_0003C,299.213,330.132,347.258,843.371,676.295,729.969,887.218,1619.58,1493.05,1226.63,31.3675,1120.68,898.823,55.5837,9.937,41.1935,6.07852,62.2208,28.2558,13.3428,13.488,8.485,0,66.2867
VNG_0005H,155.773,154.621,144.873,177.737,146.819,175.371,77.0496,126.89,116.751,83.2308,161.341,91.6288,74.1937,324.018,216.16,251.61,270.966,218.692,260.393,165.855,196.566,65.4647,56.0441,47.3542
VNG_0006G,452.396,463.043,481.592,467.272,450.582,476.953,426.311,674.071,658.926,471.818,53.3011,505.684,422.638,125.934,133.676,110.83,120.504,144.495,98.6943,37.7878,61.1183,24.0301,42.3197,50.061
VNG_0008G,272.409,317.681,272.762,282.196,312.538,268.584,259.487,384.563,370.729,280.336,14.4446,294.997,234.924,0,11.4398,22.131,33.5895,5.73048,17.3489,12.2886,0,15.6292,8.60149,20.3498
VNG_0009G,176.804,232.815,177.036,170.177,199.422,179.607,152.698,178.437,202.39,95.7742,7.09297,98.2051,93.0734,10.0551,11.235,6.20991,5.49801,11.2557,4.25955,12.0685,6.09993,0,33.7899,0
VNG_0011C,434.032,412.407,354.984,295.355,269.289,356.064,158.443,113.622,116.426,84.125,98.2874,81.3811,87.4981,90.1568,73.2628,43.0254,67.223,77.9854,93.745,19.6746,94.471,56.3018,34.4284,97.7428
VNG_0013C,4253.23,4847.24,4993.87,7403.35,7012.09,7080.81,11434.8,16687.4,20348.8,17326.7,7.61573,16527.9,14665.1,86.3691,48.2521,60.0083,29.5161,48.3411,59.4553,77.7479,13.099,16.4806,9.07005,21.4583
VNG_0014C,82.8949,76.3341,135.165,126.603,108.298,140.177,162.924,199.299,233.543,207.731,198.598,178.5,201.616,0,314.572,86.9365,0,315.152,119.264,337.91,512.38,214.885,236.523,559.577
VNG_0015H,261.92,307.614,388.22,353.975,406.898,287.401,605.111,328.725,341.081,425.236,623.875,376.684,622.477,0,296.458,682.755,1208.97,742.514,749.313,0,268.265,2700.16,371.506,0
VNG_0016H,342.354,409.366,482.215,461.474,534.837,626.985,618.277,561.35,611.488,1186.12,83.1297,931.598,1444.52,0,39.5023,54.5852,64.4368,98.9379,124.805,0,142.982,0,99.0044,0
VNG_0017H,31.195,53.2483,47.1434,26.1212,48.5649,74.624,165.93,14.7451,48.5878,22.5675,0,33.959,70.3205,0,22.5174,31.1151,0,0,42.6854,0,122.256,0,0,0
VNG_0018H,24.3722,69.0458,63.7267,35.5135,55.8278,70.4818,227.929,17.6021,67.6695,26.4676,0,47.2955,109.596,0,62.3373,43.0696,76.2643,0,0,0,169.227,0,0,0
VNG_0019H,7032.62,10597.1,11283.1,3878.23,14114,17866.9,9197.97,5077.09,9037.62,19488.2,48192.2,20942.3,13106.2,17079.4,25190.4,44302,22413.3,17207,15917.5,32799.2,26939.3,54751.6,74613.6,13578.8
VNG_0020H,11.672,37.6269,33.9698,17.3729,40.7719,38.1003,134.273,18.3273,53.6611,21.2125,49.4887,23.7581,77.8209,116.926,162.002,158.867,140.655,209.421,158.504,84.2039,113.493,89.2454,98.2319,46.4803
VNG_0021H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0022H,34.9346,55.3263,58.0938,32.1256,42.6947,43.568,146.764,16.6232,48.3911,51.1276,82.6139,35.1909,69.1879,146.393,58.8858,99.452,80.0462,49.162,62.0153,175.707,142.095,111.736,147.585,58.194
VNG_0023H,13.6672,19.2051,23.0153,13.7173,19.4561,21.8438,92.5136,16.0452,28.9194,26.7372,0,27.0255,45.3034,23.224,36.329,35.8573,25.3973,0,78.7057,0,28.1778,0,19.511,46.1599
VNG_0024H,24.8926,51.0617,51.0344,26.9605,51.0711,49.1095,250.053,29.2891,84.1568,60.2323,816.387,56.3227,112.294,578.66,535.723,638.168,226.004,370.146,525.285,1289.85,451.343,630.956,1111.18,492.917
VNG_0025H,296.705,432.175,405.533,565.618,536.805,688.093,1519.53,875.706,1434.99,1407.75,0,1332.16,1429.42,0,31.1687,0,0,0,177.256,0,0,0,351.53,0
VNG_0026C,359.208,400.45,496.077,558.528,488.303,680.546,842.408,1393.3,2354.52,2399.93,88.7281,2437.29,2031.95,475.177,615.262,470.406,443.225,305.07,520.999,67.0973,93.2627,32.0016,82.1893,0
VNG_0027H,17.6759,31.891,34.053,23.5305,36.8405,35.8684,182.808,22.3707,46.4789,23.1261,63.7717,30.4716,73.348,158.206,151.518,111.665,148.295,189.747,114.891,135.633,68.5543,34.5008,37.9749,89.8427
VNG_0028C,19.3617,36.199,38.7741,16.87,39.4487,43.1749,133.163,35.3427,55.5473,27.9003,60.3862,26.6424,63.2072,0,31.8831,52.8682,15.6025,0,12.0879,102.746,17.3106,65.3384,95.8902,0
VNG_0029H,2.95884,12.1388,12.402,11.1256,12.5907,10.3405,37.5673,3.68622,43.3474,7.39042,55.8733,11.7388,23.4399,79.2067,44.2506,12.2293,64.9641,0,16.7768,0,72.0762,0,33.2715,78.7153
VNG_0030H,21.6989,38.8065,47.3113,65.2469,78.5163,82.9968,324.7,139.457,184.855,35.0837,109.516,48.5201,60.5396,103.501,127.211,207.744,141.483,260.684,131.536,0,156.972,78.9984,173.906,205.718
VNG_0031H,48.0448,74.2787,70.0196,67.2433,80.5305,80.5986,228.166,93.0993,119.601,42.0837,554.499,42.2517,71.1713,547.437,492.478,472.462,383.76,712.321,642.202,921.004,686.915,871.39,648.595,902.086
VNG_0032H,82.5792,133.522,128.67,128.253,152.273,183.864,436.661,133.172,246.612,103.775,155.506,108.524,168.999,0,86.2105,85.0912,30.1346,61.6925,46.6931,264.59,0,84.1296,46.3005,109.54
VNG_0033H,30.8952,54.1895,63.8488,33.5855,68.0898,72.8909,585.662,44.0896,136.396,89.9965,150.282,108.198,238.303,511.301,323.736,223.673,279.574,238.481,216.598,357.983,180.939,65.0428,250.573,169.376
VNG_0034H,119.88,180.814,0,24.4979,91.0936,67.5732,1163.94,41.4862,281.451,233.929,0,148.627,395.703,3100.36,6235.51,2872.13,3390.49,1735.28,0,0,3761.68,2366.39,2604.67,0
VNG_0035H,320.115,399.158,386.155,390.895,386.557,357.973,171.559,241.966,278.475,553.805,81.5229,411.194,468.989,33.0194,22.1364,61.1773,90.2733,92.4054,104.908,19.8156,40.0625,12.6012,69.3506,32.8146
VNG_0037H,2278.61,2828.71,2612.58,2863.03,3300.39,2974.61,4543.18,4603.64,5684.17,6305.79,116.818,4777.78,4694.55,496.808,370.071,153.412,90.5498,92.6884,210.459,0,200.926,126.398,0,0
VNG_0038H,828.356,850.659,655.224,741.461,922.592,684.82,766.972,670.104,792.263,1456.39,3047.82,1021.17,941.154,3857.7,2931.06,2668.37,2278.1,1986.43,2157.15,2592.9,2527.5,2826.66,3629.84,2146.91
VNG_0039H,283.903,443.323,550.858,342.64,418.489,598.695,1108.41,401.471,1043.46,1050.64,104.479,735.711,1302.16,370.277,463.375,388.755,202.464,290.144,313.715,177.769,404.333,904.38,435.508,588.769
VNG_0040C,533.489,678.894,665.294,1012.84,1033.16,907.157,1521.82,1486.32,1660.61,1472.65,0,1249.05,1333.29,41.0509,0,38.029,0,22.9764,0,0,0,62.6653,68.9754,0
VNG_0041C,1314.85,1564.48,1875.92,2269.1,2278.2,2326.48,3323.07,3141.84,4091.31,3184.26,65.7685,2412.09,2836.14,186.468,104.175,28.7902,0,0,39.496,0,0,71.1622,0,0
VNG_0042G,1036.69,1166.09,1331.6,1602.4,1464.56,1516.58,846.655,1260.07,1425.03,1063.83,46.2035,991.508,931.643,149.711,87.8216,54.8982,40.9303,52.3712,31.7105,56.1531,22.7056,21.4254,15.7219,0
VNG_0043H,4336.86,5203.57,6844.86,7627.26,8431.05,9799.6,11618.8,6881.5,10519.8,6171.84,259.5,5218.25,6312.38,157.658,129.183,162.28,28.7353,176.484,267.15,189.228,286.931,401.116,309.054,0
VNG_0044H,2331.43,2422.51,3158.09,3307.46,3395.44,3984.06,3430.78,5785.81,8575.43,4989.82,20.2515,5591.79,3969.13,47.8478,29.939,23.6403,36.6278,42.849,44.5926,11.4858,17.4162,7.30409,40.1979,0
VNG_0045C,102.146,102.376,83.7843,78.4952,81.5155,85.4078,109.749,64.4967,87.9762,77.7521,76.2742,68.7214,73.4301,74.8573,104.087,87.3254,104.602,88.4511,105.704,89.8469,171.557,120.62,132.766,66.1271
VNG_0046G,476.334,524.812,478.959,397.12,422.131,419.161,311.023,275.475,299.641,352.209,78.3358,272.644,308.543,111.05,62.0405,77.1561,55.6608,98.412,62.7241,88.8578,50.5264,49.4434,46.6475,18.3935
VNG_0047G,612.508,595.321,462.488,450.633,497.527,468.587,281.968,208.77,207.337,293.654,31.2568,226.67,232.752,110.775,103.97,102.62,60.5707,148.803,103.239,106.366,40.3211,135.281,37.2257,44.0352
VNG_0049H,591.504,812.603,514.008,405.273,391.545,421.326,136.362,66.3304,83.6585,43.5848,36.929,33.1655,60.8667,52.3509,46.7953,21.5543,47.7082,19.534,96.1003,41.8892,52.9312,39.9575,29.3207,0
VNG_0050C,56.0365,78.265,60.6993,46.2499,42.0754,58.8794,43.522,11.2128,25.6594,7.17188,246.808,7.56944,25.5402,455.655,267.29,253.77,351.476,300.573,355.029,175.788,222.126,180.103,129.88,129.38
VNG_0051G,420.515,512.518,495.733,352.115,374.272,437.555,370.267,168.224,239.276,98.9157,42.3053,90.6221,147.117,49.9771,64.7763,61.7307,65.5847,61.5392,63.5141,23.9939,48.5099,38.1456,58.7814,39.7337
VNG_0052H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0053H,366.009,509.117,474.51,724.856,699.685,890.617,2855.56,2493.93,4584.27,3115.53,251.43,2699.91,2246.32,198.017,159.302,97.8345,86.6188,88.6645,134.215,95.0672,120.127,211.594,0,157.431
VNG_0054H,2.50886,5.18963,6.85818,2.34375,4.72066,8.08104,29.9804,2.97678,10.4342,3.91656,118.771,4.8879,13.0135,240.53,64.5013,66.8471,65.7597,94.238,101.894,28.8695,87.5508,128.511,40.4148,143.423
VNG_0055H,42.0311,65.5601,65.3877,53.6303,48.8164,75.1206,101.065,18.4479,44.2856,36.8081,285.747,50.8391,76.7004,270.053,60.3484,41.6954,221.493,75.5747,286,162.064,163.828,103.061,0,268.377
VNG_0056H,150.722,162.711,135.919,101.32,102.183,117.559,148.79,24.7333,54.4898,29.059,5.91102,34.1158,68.7729,33.5181,29.9611,28.4631,13.7455,32.8304,14.199,10.0575,30.5007,38.3747,28.1592,0
VNG_0057H,74.8732,88.207,64.7145,74.992,73.9078,70.6007,71.2231,28.1502,41.523,22.7274,263.202,17.6678,35.7663,321.296,236.244,179.226,141.679,191.433,219.529,136.838,176.052,134.483,60.9513,82.4008
VNG_0058H,177.763,214.175,211.239,279.764,243.754,267.534,326.327,206.14,228.513,242.972,327.441,172.341,214.962,464.185,319.172,224.195,208.256,293.114,292.437,342.852,187.732,426.971,239.982,260.224
VNG_0059H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0060G,344.607,423.399,276.399,260.45,332.799,264.776,294.642,145.289,171.061,127.389,44.4946,84.4253,112.903,63.0761,33.8293,35.0596,82.7745,28.2431,53.4408,90.8479,45.9182,48.1436,84.7863,25.0739
VNG_0061C,249.179,291.962,227.584,222.76,229.275,221.622,205.378,113.566,107.083,92.757,37.0319,70.8455,78.3943,69.9958,68.4333,59.4394,23.9206,48.9711,70.4229,0,42.463,13.3563,22.0518,17.3904
VNG_0062G,227.133,279.733,224.664,216.368,211.094,232.394,150.728,34.6656,56.8925,25.871,34.9415,27.6235,57.7415,24.7668,33.2076,22.9436,20.3133,48.5172,20.9835,29.7261,45.0744,18.9035,10.4035,49.2263
VNG_0063G,343.837,370.825,278.723,311.453,296.743,324.69,130.934,62.9848,57.0934,27.6065,36.2748,25.006,40.5976,295.686,129.28,111.155,91.3832,21.5865,179.719,0,54.5933,49.0621,43.202,25.5523
VNG_0064G,52.1827,62.7896,62.6897,47.1826,50.5068,54.7199,144.789,78.4892,99.1057,86.6954,27.6239,75.3581,81.472,19.58,17.5021,36.2771,10.7061,32.8769,24.8835,70.5021,23.7564,0,16.4495,0
VNG_0065G,258.113,266.298,225.61,195.398,198.64,200.574,90.3823,51.511,54.5974,44.0914,1007.09,33.2276,50.357,526.71,579.225,971.592,757.894,705.972,857.273,1597.09,2018.08,1110.84,1443.95,2259.07
VNG_0066H,1327.44,1256.72,1356.56,1355.36,1272.08,1302,1169.17,1897.22,2262.2,3817.83,440.535,3170.7,4102.19,0,372.155,0,0,116.513,0,0,0,0,174.887,0
VNG_0067H,194.51,204.766,218.832,180.898,188.021,183.479,355.768,243.151,320.598,599.548,184.533,417.096,622.388,261.596,263.064,242.338,143.038,366.04,277.044,156.989,158.697,499.166,109.886,259.973
VNG_0068H,220.431,220.569,205.755,180.184,157.968,157.587,361.387,171.173,131.274,428.043,0,346.612,378.592,1330.26,148.636,205.389,727.373,0,563.528,0,403.502,1015.34,0,1322.01
VNG_0069H,3565.35,3855.82,5227.05,5487.29,4903.54,5393.18,12479.5,8172.81,11943.8,15231.3,0,12218.5,13911.5,0,228.528,105.262,0,0,0,0,206.795,0,286.38,0
VNG_0070H,2724.21,3198.44,3722,3817.03,4135.36,4200.33,8002.94,5801.55,8773.53,12274.8,0,10260.4,12116.8,310.519,300.696,63.9244,113.192,0,43.8475,248.465,188.377,0,347.831,411.457
VNG_0072H,118.401,144.034,161.094,168.512,221.288,183.306,159.027,133.976,267.223,195.914,0,176.791,229.309,86.3081,67.5052,79.9545,117.981,0,91.4049,103.591,52.3589,0,0,171.545
VNG_0073C,18.2605,28.4603,29.118,16.1703,24.6679,31.7367,257.987,22.1176,64.3074,34.4451,0,37.7322,80.3663,0,135.105,93.3454,55.0962,0,0,0,61.128,0,0,0
VNG_0075H,220.792,335.643,396.033,335.379,306.486,472.341,740.109,399.49,581.23,328.393,318.859,312.535,390.222,1130.04,606.072,69.7904,494.317,126.498,670.196,542.531,0,1035.03,949.373,1796.86
VNG_0076H,0,77.9889,88.3402,0,16.3711,91.0803,337.905,89.4692,91.0468,75.6738,1282.55,80.1322,177.786,5454.46,406.301,2245.75,0,1017.63,770.209,2182.23,1102.99,1387.73,0,0
VNG_0077H,466.752,491.651,434.366,430.846,408.37,392.059,178.304,164.164,186.834,88.5342,12.2462,88.8919,91.5389,0,27.1566,32.1648,9.49248,29.15,29.417,41.6734,21.0634,39.7516,14.5848,0
VNG_0079H,105.297,141.438,133.962,172.142,146.941,152.302,213.669,110.006,223.891,68.2322,181.438,93.5994,157.388,3858.13,1436.96,1429.65,984.474,1583.57,1198.55,0,312.072,0,0,0
VNG_0080H,289.902,259.496,250.756,226.552,205.636,233.233,167.453,115.82,103.744,64.2875,123.345,62.4022,58.2565,131.141,87.918,80.9915,95.6089,24.4667,74.0724,52.4671,79.557,66.7301,36.7248,434.426
VNG_0081G,81.7692,75.6351,80.8319,68.2579,80.868,84.3579,93.6303,66.803,60.2917,62.9781,41.1413,78.6548,84.7185,43.7418,61.908,54.029,47.8351,32.6433,61.7666,35.0005,61.9174,11.1288,61.2472,28.9803
VNG_0084G,73.2783,72.7329,53.8474,61.9277,67.178,69.4192,69.0289,62.1705,72.3683,108.305,403.445,102.426,97.0117,746.684,401.176,412.087,390.906,577.977,464.373,457.635,308.41,363.776,707.385,410.497
VNG_0085G,141.327,137.208,110.813,99.3406,98.6894,98.4647,96.0468,104.438,101.709,157.775,126.304,143.35,134.174,179.049,90.0271,86.3899,61.189,81.4244,113.774,53.7257,122.198,76.8722,84.6129,155.696
VNG_0086G,34.9293,39.098,41.6239,38.1905,41.8646,46.862,61.6475,84.4259,82.4483,118.646,37.6447,164.867,117.203,60.0362,40.2487,51.4969,62.0069,33.6025,45.2136,48.0387,40.4678,20.366,16.8125,66.2931
VNG_0089G,168.053,150.902,196.516,97.418,121.74,156.458,95.5988,130.66,136.778,274.589,13.272,418.267,300.779,37.6291,12.6134,11.6197,10.2876,0,23.9108,0,22.8278,0,31.613,0
VNG_0090G,60.7836,61.8284,62.8774,47.3452,51.6173,65.3794,72.8105,88.6114,87.4163,122.736,20.9046,176.84,133.757,69.1474,19.8672,12.2013,16.2039,16.5866,8.36924,11.8562,59.9262,60.3173,99.5863,19.6338
VNG_0091C,23.9971,24.7649,24.935,16.4324,20.6874,24.68,24.5256,19.2316,20.9545,16.2663,0,21.2698,19.6868,0,6.32502,4.37003,0,0,5.99505,16.9857,8.58526,0,11.8893,0
VNG_0094C,985.703,1052.92,1009.04,827.024,866.058,875.742,428.756,661.628,586.531,966.91,15.3261,852.963,948.532,0,14.5656,13.418,11.8798,0,0,26.077,13.1804,66.3319,36.5056,0
VNG_0095G,1294.24,1378.35,1299.42,997.435,1011.71,1441.95,530.104,606.854,545.557,290.813,105.993,298.481,290.09,87.6501,100.734,119.863,143.779,91.1079,42.4349,60.1151,68.3654,86.0144,84.1561,124.438
VNG_0096C,685.919,652.556,625.005,548.331,611.112,592.642,469.419,647.405,503.02,698.288,67.3349,830.285,647.364,40.9092,30.4731,46.3193,7.45624,38.1617,28.8834,32.734,57.9077,52.0407,45.8248,162.622
VNG_0097G,1123.26,1131.85,1129.01,967.32,1169.33,933.359,855.61,1003.79,978.186,1794.74,191.281,1258.14,1655.61,325.394,242.385,385.174,296.537,212.478,183.792,325.46,263.201,165.574,273.37,0
VNG_0098G,100.561,92.3515,91.9434,123.067,85.078,119.558,40.6713,39.7495,41.9008,23.9317,119.336,28.2257,26.6857,246.068,185.587,109.228,185.003,266.843,175.905,73.8354,102.628,105.646,77.5225,213.974
VNG_0099G,8231.85,8389,8405.57,7049.85,6088.56,7760.54,1512.84,2577.98,2128.25,1323.02,64.775,1242.93,1242.48,61.2172,34.2004,37.8071,50.2094,17.1317,12.9665,36.7377,222.825,70.0872,25.7149,60.8374
VNG_0101G,18925.6,21659.4,21094.3,17793.6,18944,23811.1,5024.95,7491.64,7575.58,8986.03,318.859,8220.76,7846.53,0,404.048,488.533,247.159,379.494,287.227,271.266,137.109,172.504,379.749,898.428
VNG_0102C,459.711,450.772,499.475,415.43,381.337,444.404,319.925,392.414,404.757,562.322,31.2568,480.549,479.665,66.4651,29.7058,27.3654,72.6848,62.0012,37.5414,53.1828,40.3211,67.6404,0,132.106
VNG_0104G,34.6934,39.2754,44.5771,42.5384,51.2442,66.4677,128.391,157.024,153.57,164,0,235.725,171.775,13.1059,8.78632,16.1882,7.16619,22.0063,16.6559,0,15.9015,0,0,130.246
VNG_0105H,68.2576,68.3159,74.2494,62.7152,81.2184,60.8443,126.064,164.435,160.005,259.783,74.9947,297.502,262.567,0,55.4348,32.829,19.377,59.504,45.0366,85.0679,128.99,81.145,59.5439,0
VNG_0106G,267.237,279.222,234.131,253.119,251.199,240.938,221.085,160.802,158.482,155.721,38.4153,140.654,138.115,38.8986,24.3394,19.2187,38.2848,13.063,19.7739,37.3502,47.1958,35.6278,19.6077,0
VNG_0107G,197.886,315.12,285.244,255.037,254.861,312.556,359.11,157.799,242.611,228.775,29.0494,188.67,261.087,49.4169,66.2589,66.1253,49.5378,55.3176,17.4451,39.5415,74.947,25.1454,89.9515,32.7402
VNG_0108G,128.415,157.6,155.657,164.15,167.325,178.817,230.812,129.354,153.938,106.754,353.673,98.2937,113.069,183.956,153.956,190.463,260.339,173.62,267.4,268.414,231.947,162.432,103.03,179.231
VNG_0110C,152.424,181.5,206.765,191.223,159.51,197.513,140.373,128.103,141.797,115.619,271.505,92.8887,98.9855,192.444,270.934,309.014,242.021,118.483,350.552,254.078,163.445,88.1314,355.688,267.751
VNG_0112H,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VNG_0113H,40.2183,42.2487,46.5628,36.6138,35.155,38.7613,52.065,25.7622,33.4741,44.5646,74.7034,43.6053,41.6482,42.3602,104.128,65.4031,69.4863,59.2729,35.8894,76.2638,25.6979,32.332,17.7938,0
VNG_0115G,160.579,158.999,172.569,160.934,177.222,194.282,289.261,254.115,316.162,411.008,122.462,419.634,695.355,121.523,100.867,42.8864,113.91,77.7334,110.314,125.02,168.507,79.5032,116.678,138.022
VNG_0116H,15.661,44.9172,58.1787,25.7016,52.1177,59.3495,214.138,23.6801,93.4489,31.2186,11.4222,37.0407,116.114,32.3846,3.61848,20.0004,0,9.0629,20.5782,0,19.6462,24.718,13.6035,0
VNG_0117H,26.0884,64.0827,88.2944,46.4582,90.6235,93.484,314.534,114.788,202.999,186.177,86.7323,176.739,233.736,0,137.381,0,0,0,0,0,74.5894,93.8452,0,0
VNG_0118H,18.5803,29.3947,44.3949,24.9756,34.3032,41.4275,189.343,53.7261,128.735,68.9687,0,79.8575,104.489,0,12.3158,0,0,0,23.3466,0,0,0,0,0
VNG_0119H,678.44,624.38,943.003,1062.14,599.994,991.698,558.23,1265.45,1015.09,637.259,0,648.667,442.822,0,0,0,0,396.441,0,0,0,0,0,1407.82
VNG_0120H,727.262,861.29,1251.72,462.37,723.191,1214.63,2997.46,857.575,1897.17,1009.17,0,1085.33,1096.55,0,1727.48,1432.24,1690.74,0,654.943,1855.64,2813.75,1180.05,7793.23,3072.93
VNG_0121H,43.2663,45.3292,47.2144,45.1083,62.7353,58.9988,123.838,103.645,116.786,177.957,0,184.372,206.953,69.4153,7.75609,0,18.9778,0,0,41.6576,21.0554,0,0,0
VNG_0123G,165.651,187.041,196.452,169.63,145.346,145.226,115.22,160.885,147.652,98.9907,74.2613,93.9636,94.3327,87.7281,60.1205,75.852,47.9688,75.2893,64.4168,70.1967,39.0283,26.7838,29.4808,69.7471
VNG_0124C,194.297,180.511,212.357,183.215,170.023,189.622,100.537,215.845,182.467,114.953,12.2462,151.356,105.753,121.523,147.421,112.577,151.88,87.45,117.668,104.183,136.912,66.2527,43.7544,207.032
VNG_0125H,264.058,261.761,244.31,286.909,267.535,239.065,284.596,530.855,420.422,312.018,76.5123,361.124,334.341,108.465,72.7156,133.973,118.615,60.7081,206.766,0,98.7004,0,0,0
VNG_0127C,540.664,575.222,490.531,521.784,457.663,490.235,329.988,284.077,265.337,157.914,0,121.81,154.797,77.2965,17.2734,23.8688,169.06,86.5262,32.7445,0,0,58.9975,0,0
VNG_0128C,342.825,317.144,247.538,201.257,218.929,211.248,135.392,101.203,97.8049,78.0473,147.716,64.0771,73.1544,122.152,85.7913,107.771,143.125,126.971,192.201,125.668,179.966,66.5958,117.283,104.052
VNG_0129G,738.569,759.825,763.27,975.647,961.033,957.253,739.73,1177.58,992.393,1718.59,63.9251,1394.69,1469.01,60.414,121.506,102.605,140.393,33.8139,63.9817,199.407,54.9753,57.6397,101.51,60.0392
VNG_0130H,914.973,825.923,903.725,1353.1,1181.77,1133.86,573.812,1861.17,1233.14,1640.97,311.938,1779.51,1713.73,442.206,889.375,682.755,725.382,495.009,187.328,0,268.265,0,0,0
VNG_0132C,133.995,141.5,141.478,83.522,85.1028,109.451,53.7721,84.3109,74.1018,59.3193,206.557,85.2048,64.4138,268.416,294.46,316.472,400.274,396.07,351.457,292.876,148.032,335.245,82.0005,242.501
VNG_0133G,376.011,344.981,284.379,284.594,270.526,287.253,124.151,187.82,153.343,119.6,11.6482,135.67,111.899,0,29.5206,12.7476,13.5434,18.4844,6.99512,19.8192,25.0436,12.6035,13.8726,16.4102
VNG_0134G,1048.6,1012.01,939.107,864.729,873.404,886.771,415.508,695.509,631.568,493.144,28.269,462.925,424.337,40.0744,35.8216,61.8739,131.474,112.149,33.9528,0,97.2447,0,33.6673,0
VNG_0136G,488.977,444.041,394.798,371.325,348.404,322.902,157.604,256.678,221.518,228.239,218.385,213.682,184.57,297.201,354.215,309.738,223.447,263.379,236.064,163.494,202.835,189.035,239.281,172.292
VNG_0137G,110.228,103.353,103.039,74.5201,79.7524,82.9657,53.5599,70.0094,73.8014,82.293,73.8719,110.213,106.014,157.083,138.462,142.824,124.065,92.8041,162.662,73.32,90.0002,93.2519,43.9894,104.072
VNG_0138H,17.0492,23.5111,22.1931,16.9227,22.209,31.5764,76.4004,6.74301,29.7349,28.5165,0,21.1376,40.1975,0,107.132,0,174.756,0,203.087,0,193.888,365.912,134.253,0
VNG_0139H,36.5123,53.3175,36.0246,32.6973,39.3493,36.4429,66.6977,21.891,40.186,22.1461,131.947,21.6248,37.8707,124.7,69.6665,115.52,102.277,34.8975,79.2385,112.253,132.387,23.7947,78.5722,123.927
VNG_0140H,58.2635,47.7056,60.6736,45.9247,42.1647,77.4125,230.007,34.5651,85.9822,48.7257,379.487,28.378,100.738,0,180.328,83.0604,0,301.101,0,0,0,0,0,1069.26
VNG_0141H,101.49,86.5889,65.3877,124.858,86.2076,99.3903,169.973,168.87,207.95,168.037,0,124.556,171.448,0,90.5226,83.3909,0,75.5747,57.2001,0,0,103.061,0,0
VNG_0142C,479.587,574.218,724.166,679.606,833.348,1096.77,1373.55,719.237,1045.45,1174.18,139.618,822.784,1507.65,0,110.575,91.6768,54.1113,55.3893,62.8836,0,30.0177,302.136,166.28,295.044
VNG_0143H,18.7949,20.5392,36.1904,31.8861,35.5697,61.1666,117.065,52.525,60.6113,31.555,267.486,32.0951,49.1628,189.595,264.804,248.821,207.338,397.939,180.713,341.341,345.055,108.533,318.565,376.839
VNG_0144H,575.542,561.111,551.421,604.8,534.392,577.741,530.95,660.022,808.205,272.973,4658.75,289.055,248.816,639.126,447.518,565.762,2190,1502.43,2996.27,2505.88,5221.38,1008.16,1252.86,2879.4
VNG_0146H,1437.21,1300.65,1172.72,983.414,883.229,1210.2,945.823,1161.89,1250.13,960.894,135.668,1029.68,758.261,576.975,300.851,356.334,841.291,430.58,733.257,0,116.674,0,323.152,0
VNG_0147C,585.071,621.77,587.429,451.459,517.783,511.484,300.033,194.749,203.754,138.48,160.093,147.105,211.99,113.475,287.392,303.683,330.916,211.707,256.375,0,206.519,86.611,127.11,300.722
VNG_0148H,0,0,0,35.4442,21.9661,48.8832,194.309,0,122.163,33.8454,0,80.6387,95.4186,0,525.515,0,0,0,996.198,0,0,0,1975.64,0
VNG_0149G,35.366,37.2578,43.8027,22.3695,23.8755,21.8325,34.1727,19.3418,19.9888,17.6309,75.66,22.3048,30.3493,48.753,81.7109,93.339,66.6441,92.7765,76.4154,64.3669,79.8554,78.1438,28.6708,29.0703
VNG_0150H,39.2948,40.0903,39.0072,37.7347,33.0149,30.9732,20.281,33.1671,21.0012,17.7046,15.1309,34.2607,22.8478,107.249,62.3137,72.8594,58.6426,12.0055,45.433,51.4899,39.0376,16.3718,18.0204,0
